jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3
Pria,41.0,S2,Karyawan Swasta,> Rp 10 juta,tangerang,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,30.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,jakarta,18.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,surabaya,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,47.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,44.0,S1,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,44.0,D3,Karyawan Swasta,> Rp 10 juta,medan,15.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,lampung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,21.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,surabaya,18.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,cimahi,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,49.0,D3,Ibu Rumah Tangga,> Rp 10 juta,bogor,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,27.0,D3,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bandung,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,17.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,semarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,S2,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,17.0,SMP,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,42.0,D3,Karyawan Swasta,Rp 5 juta – Rp 10 juta,makassar,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,S2,Profesional,> Rp 10 juta,jakarta,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,S1,Karyawan Swasta,> Rp 10 juta,medan,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,17.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Profesional,Rp 5 juta – Rp 10 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,23.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,50.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,28.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,tangerang,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,30.0,S1,Pegawai Negeri,Rp 2 juta – Rp 5 juta,sumatera barat,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,malang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,59.0,D3,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,bekasi,8.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,55.0,S1,Pegawai Negeri,Rp 5 juta – Rp 10 juta,bondowoso,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,51.0,S1,Ibu Rumah Tangga,> Rp 10 juta,tangerang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,34.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,18.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,45.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,palembang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,45.0,D3,Ibu Rumah Tangga,> Rp 10 juta,bekasi,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S2,Profesional,Rp 5 juta – Rp 10 juta,depok,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bogor,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,45.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,SMA,Ibu Rumah Tangga,< Rp 2 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,49.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,lampung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,51.0,S1,Ibu Rumah Tangga,> Rp 10 juta,bandung,13.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,cikarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,depok,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,Profesional,> Rp 10 juta,bandung,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,purwokerto,15.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,32.0,S1,Ibu Rumah Tangga,< Rp 2 juta,bogor,4.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,23.0,SMA,Karyawan Swasta,< Rp 2 juta,pekalongan,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,52.0,SMA,Driver online,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,46.0,S1,Ibu Rumah Tangga,< Rp 2 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,tangerang,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,16.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,depok,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,SMA,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,13.0,SD,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,58.0,S3,Profesional,Rp 5 juta – Rp 10 juta,bandung,6.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,semarang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,47.0,S2,Karyawan Swasta,> Rp 10 juta,jakarta,2.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,25.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,yogyakarta,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,48.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,37.0,S2,Karyawan Swasta,> Rp 10 juta,cilegon,2.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,45.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,56.0,S2,Profesional,> Rp 10 juta,jakarta,4.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,39.0,S1,Karyawan Swasta,> Rp 10 juta,palembang,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,46.0,D3,Karyawan Swasta,Rp 2 juta – Rp 5 juta,garut,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,22.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,palembang,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tasikmalaya,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,50.0,S2,Karyawan BUMN,> Rp 10 juta,cilegon,2.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,16.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,surabaya,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,43.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,61.0,S2,purnawirawan polri,Rp 5 juta – Rp 10 juta,bandung,4.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,36.0,S1,Profesional,Rp 5 juta – Rp 10 juta,bandung,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,malang,9.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,40.0,S1,Profesional,> Rp 10 juta,medan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,28.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,medan,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,47.0,D3,Karyawan Swasta,> Rp 10 juta,tangerang,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,16.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,jakarta,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,S1,Pegawai Negeri,> Rp 10 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,16.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,tangerang,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,26.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,46.0,S1,Karyawan Swasta,> Rp 10 juta,medan,5.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,43.0,S1,Pegawai Negeri,> Rp 10 juta,bogor,4.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,S1,Pegawai Negeri,Rp 2 juta – Rp 5 juta,jakarta,2.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,surabaya,18.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,44.0,D3,Pengusaha,> Rp 10 juta,bekasi,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,42.0,D3,Karyawan Swasta,Rp 5 juta – Rp 10 juta,tangerang,18.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,44.0,S1,Pegawai Negeri,> Rp 10 juta,depok,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,53.0,S1,Terapis,Rp 2 juta – Rp 5 juta,jakarta,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,32.0,S2,Karyawan Swasta,Rp 5 juta – Rp 10 juta,sorong,4.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,38.0,S2,Ibu Rumah Tangga,< Rp 2 juta,bandung,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,33.0,S1,Karyawan Swasta,> Rp 10 juta,tangerang,1.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,48.0,S1,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,59.0,D3,Pensiunan ,Rp 2 juta – Rp 5 juta,garut,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,31.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Mobile Banking,ATM,,,Datang ke Kantor Cabang,,,,,,Bank BRI,,,2-5 kali per bulan,Tidak Pernah,2-5 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,ATM,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,,,,,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,,,,,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,Bank BRI,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,,Bank CIMB Niaga,,,,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Internet Banking,Internet Banking,Internet Banking,ATM,Internet Banking,Internet Banking,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,,,Mobile Banking,Internet Banking,ATM,ATM,Internet Banking,Internet Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,,,ATM,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,,,Internet Banking,,,,Bank Mandiri,,,,,,,6-9 kali per bulan,,,,Mobile Banking,,,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,Bank BCA,Bank CIMB Niaga,,,,6-9 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,6-9 kali per bulan,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,Bank BNI,,Bank BCA,,Bank BRI,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,,,,ATM,,ATM,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,> 10 kali per bulan,,,Mobile Banking,SMS Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,ATM,,,Datang ke Kantor Cabang,,,,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,> 10 kali per bulan,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,,
,,,,,,,,Mobile Banking,,,,,,,,,Bank CIMB Niaga,,Bank BTN,,6-9 kali per bulan,> 10 kali per bulan,6-9 kali per bulan,6-9 kali per bulan,> 10 kali per bulan,ATM,Internet Banking,Internet Banking,Mobile Banking,Mobile Banking,ATM,,,Transaksi / pembayaran yang sama terjadi dua kali
,,,,,,,,Mobile Banking,ATM,,,,,,,,,Bank BRI,,,Kurang dari/ setidaknya 1 kali per bulan,,2-5 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,6-9 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,Bank BCA,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,,,Mobile Banking,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,,ATM,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,,,,,ATM,,,,,,,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,Bank BRI,,,Kurang dari/ setidaknya 1 kali per bulan,,2-5 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,,,Bank BRI,,,6-9 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,Bank BRI,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
